ID,Severity,Group,SourceFile,Function,Category,Summary,Status,ReviewFile
FR-027,HIGH,4,app/core/plugins/manager.py,PluginManager.enable,Contract Mismatch,Partial load during `enable()`: if `_loader.load()` registers some node types then raises (e.g.,OPEN,File_review/GROUP_04_Plugin_Ecosystem/manager.md
FR-028,HIGH,4,app/core/plugins/manager.py,PluginManager.install,State Bug,During upgrade via URL source: old plugin is unregistered (Step 5 authoritative uninstall) before the new plugin is fully installed.,OPEN,File_review/GROUP_04_Plugin_Ecosystem/manager.md
FR-029,HIGH,4,app/core/plugins/store.py,PluginStore.get,State Bug,"However, `PluginRecord(**data[name])` can raise `ValidationError` if the stored dict has a corrupt or schema-mismatched entry (e.g.",OPEN,File_review/GROUP_04_Plugin_Ecosystem/store.md
FR-030,HIGH,5,app/core/planner.py,_build,Error Handling,An unknown `node_type` produces a cryptic `TypeError` instead of a `PipelineGraphError` with a meaningful message.,OPEN,File_review/GROUP_05_Planner/planner.md
FR-031,HIGH,5,app/core/planner.py,_build,Error Handling,Non-serializable config values produce a cryptic `TypeError` that does not identify the offending node or field.,OPEN,File_review/GROUP_05_Planner/planner.md
FR-032,HIGH,5,app/core/planner.py,_parse_pipeline_config,Error Handling,Malformed YAML input produces bare `KeyError` exceptions with no diagnostic context.,OPEN,File_review/GROUP_05_Planner/planner.md
FR-033,HIGH,5,app/core/planner.py,_parse_pipeline_config,Silent Failure,"A string value for `""from""` or `""to""` is silently sliced into characters, producing an invalid but non-crashing `EdgeSpec`.",OPEN,File_review/GROUP_05_Planner/planner.md
FR-034,HIGH,6,app/core/events.py,FileWatcherSource.watch,Async Bug,"A `watchfiles` backend error (directory deleted, permission denied, Rust thread crash) causes the `FileWatcherSource` to silently stop yielding events.",OPEN,File_review/GROUP_06_Execution_Runtime/events.md
FR-035,HIGH,6,app/core/events.py,FileWatcherSource.watch,Edge Case,"A non-existent or non-directory path causes: - `watchfiles` path: uncaught exception → silent task failure - Polling path: `OSError` caught → silent infinite loop doing nothing In both cases, no error is surfaced to the ...",OPEN,File_review/GROUP_06_Execution_Runtime/events.md
FR-036,HIGH,6,app/core/executor.py,ParallelExecutor._run_node,State Bug,The correctness argument depends on CPython's GIL and asyncio's single-threaded cooperative scheduling.,OPEN,File_review/GROUP_06_Execution_Runtime/executor.md
FR-037,HIGH,6,app/core/executor.py,ParallelExecutor._run_node,Silent Failure,"A typo in a condition expression (e.g., `""output['scor'] > 0.5""` where the key is `""score""`) silently routes `None` to the downstream node instead of failing with a clear error.",OPEN,File_review/GROUP_06_Execution_Runtime/executor.md
FR-038,HIGH,6,app/core/executor.py,ParallelExecutor.run_wave,Error Handling,"The docstring says ""If any task raises an exception, the first exception is re-raised after all tasks have been awaited (no cancellation of already-running tasks)."" This is accurate but the consequence is not documented:...",OPEN,File_review/GROUP_06_Execution_Runtime/executor.md
FR-039,HIGH,6,app/core/node_executor.py,NodeExecutor.execute,Silent Failure,`outputs = node.process(inputs)` is never checked for `None`.,OPEN,File_review/GROUP_06_Execution_Runtime/node_executor.md
FR-040,HIGH,6,app/core/node_executor.py,NodeExecutor.execute,Error Handling,"Any exception raised between `outputs = node.process(inputs)` and `return outputs` (e.g., the `_last_output_counts` assignment) bypasses the `on_error()` call and the retry loop entirely — it propagates directly to the c...",OPEN,File_review/GROUP_06_Execution_Runtime/node_executor.md
FR-041,HIGH,6,app/core/orchestrator.py,run_pipeline_ir_async,Resource Leak,The setup loop has no error handling.,OPEN,File_review/GROUP_06_Execution_Runtime/orchestrator.md
FR-042,HIGH,6,app/core/orchestrator.py,run_pipeline_ir_async,Silent Failure,Silent empty-dict return when the last node is skipped.,OPEN,File_review/GROUP_06_Execution_Runtime/orchestrator.md
FR-043,HIGH,6,app/core/orchestrator.py,run_pipeline_ir_async (event-driven path),Error Handling,"A node failure in event-driven mode leaves the run in an indeterminate state: not marked failed, not deregistered, executors not torn down.",OPEN,File_review/GROUP_06_Execution_Runtime/orchestrator.md
FR-044,HIGH,6,app/core/orchestrator.py,run_pipeline_ir_async (event-driven path),State Bug,`close()` is called twice on every source in the cancellation path.,OPEN,File_review/GROUP_06_Execution_Runtime/orchestrator.md
FR-045,HIGH,7,app/core/artifact_store.py,ArtifactStore.cleanup,Silent Failure Risk,The `continue` statement inside the `try` block skips entries that are NOT older than the cutoff.,OPEN,File_review/GROUP_07_Observability_Storage/artifact_store.md
FR-046,HIGH,7,app/core/artifact_store.py,ArtifactStore.register,State Bug,The `try/except ArtifactSerializationError: raise` block does not clean up `tmp_artifact_dir` before re-raising.,OPEN,File_review/GROUP_07_Observability_Storage/artifact_store.md
FR-047,HIGH,7,app/core/checkpoint.py,_write_checkpoint,Silent Failure Risk,"The docstring says ""Write a node's outputs to a checkpoint directory"" but the function only checkpoints AudioSample outputs.",OPEN,File_review/GROUP_07_Observability_Storage/checkpoint.md
FR-048,HIGH,7,app/core/pipeline_cache.py,PipelineCache.save,Resource Leak,`load()` uses `top_manifest_path.exists()` as the primary discovery mechanism (SA-PC3 fix).,OPEN,File_review/GROUP_07_Observability_Storage/pipeline_cache.md
FR-049,HIGH,7,app/core/provenance.py,ProvenanceStore.record,State Bug,"If the process is killed between writing `{artifact_id}.json` and writing `by_run/{run_id}.json`, the provenance record exists but is not indexed by run.",OPEN,File_review/GROUP_07_Observability_Storage/provenance.md
FR-050,HIGH,7,app/core/run_control.py,_get_redis_client,Resource Leak,"`register_active_run`, `get_active_run`, and `deregister_active_run` each call `_get_redis_client()` once.",OPEN,File_review/GROUP_07_Observability_Storage/run_control.md
FR-051,HIGH,7,app/core/run_journal.py,RunManager.__init__,Edge Case,Two concurrent runs with the same `run_id` will attempt to create the same directory.,OPEN,File_review/GROUP_07_Observability_Storage/run_journal.md
FR-052,HIGH,7,app/core/run_journal.py,RunManager.update_resume_state,State Bug,A truncated `resume_state.json` causes `load_resume_state()` to raise `ResumeError` on the next resume attempt.,OPEN,File_review/GROUP_07_Observability_Storage/run_journal.md
FR-053,HIGH,8,app/core/utils/hash.py,stable_hash,Silent Failure,"The `sort_keys=True` flag is misleading: it only sorts dict keys, not the argument list.",OPEN,File_review/GROUP_08_Platform_Infra/hash.md
FR-054,HIGH,8,app/core/validation.py,validate_pipeline,Edge Case,Any pipeline config that omits `pipeline.seed` is rejected with a confusing error message.,OPEN,File_review/GROUP_08_Platform_Infra/validation.md
FR-055,HIGH,8,app/core/webhook.py,WebhookService._send,Async Bug,Daemon threads are killed immediately on process exit.,OPEN,File_review/GROUP_08_Platform_Infra/webhook.md
FR-056,HIGH,8,app/core/webhook.py,WebhookService._send / _is_private_host,Edge Case,An attacker with control of the DNS record can time the TTL expiry so that: 1.,OPEN,File_review/GROUP_08_Platform_Infra/webhook.md
FR-057,HIGH,9,app/cli/main.py,cmd_artifacts_replay,Error Handling,"Inconsistent UX: cmd_runs_logs supports partial run ID matching, cmd_artifacts_replay does not.",OPEN,File_review/GROUP_09_SDK_CLI/main.md
FR-058,HIGH,9,app/cli/main.py,cmd_run,Contract Mismatch,A user who runs `graphyn run --graph foo.json --seed 99` will see no entry in `graphyn runs list` and no artifacts in `graphyn artifacts list`.,OPEN,File_review/GROUP_09_SDK_CLI/main.md
FR-059,HIGH,9,app/cli/main.py,main,Error Handling,"If the user presses Ctrl+C during a long-running pipeline execution (cmd_run), Python raises KeyboardInterrupt.",OPEN,File_review/GROUP_09_SDK_CLI/main.md
FR-060,HIGH,9,app/core/sdk.py,Pipeline._build_ir,Error Handling,There is no bounds check on src_idx or dst_idx.,OPEN,File_review/GROUP_09_SDK_CLI/sdk.md
FR-061,HIGH,9,app/core/sdk.py,Pipeline._execute,Error Handling,"After a failed run, self._last_run_id is stale (points to the previous successful run, or None).",OPEN,File_review/GROUP_09_SDK_CLI/sdk.md
FR-062,HIGH,10,app/api/routers/artifacts.py,replay_artifact / _do_replay (inner),Resource Leak,The executor's internal task queue is unbounded.,OPEN,File_review/GROUP_10_API/artifacts.md
FR-063,HIGH,10,app/api/routers/artifacts.py,replay_artifact / _do_replay (inner),Error Handling,"`original_run_id` comes from the artifact store (trusted internal data), but if the store is ever populated with untrusted data (e.g.",OPEN,File_review/GROUP_10_API/artifacts.md
FR-064,HIGH,10,app/api/routers/pipelines.py,run_pipeline_async,Silent Failure Risk,"Async runs started via `/run-async` cannot be paused, resumed, or cancelled via the run-control API because the RunManager is never registered with `register_active_run()`.",OPEN,File_review/GROUP_10_API/pipelines.md
FR-065,HIGH,10,app/api/routers/pipelines.py,run_pipeline_stream,Async Bug,A slow or disconnected client causes the pipeline execution thread to block forever on `queue.put()`.,OPEN,File_review/GROUP_10_API/pipelines.md
FR-066,HIGH,10,app/api/routers/pipelines.py,run_pipeline_stream,Error Handling,`json.dumps(item)` can raise `TypeError` if any value in the log entry is not JSON-serializable (e.g.,OPEN,File_review/GROUP_10_API/pipelines.md
FR-067,HIGH,10,app/api/routers/plugins.py,install_plugin (remote path via BackgroundTasks),Error Handling,If the background install fails (e.g.,OPEN,File_review/GROUP_10_API/plugins.md
FR-068,HIGH,11,app/mcp/handlers/execution.py,execute_pipeline_handler,Error Handling,"Contract mismatch: callers that check `result.get(""error"")` to detect failures will not detect this error.",OPEN,File_review/GROUP_11_MCP/execution.md
FR-069,HIGH,11,app/mcp/handlers/graph.py,generate_graph_handler,Edge Case,Misleading error message when `node_type` is missing from a node spec.,OPEN,File_review/GROUP_11_MCP/graph.md
FR-070,HIGH,11,app/mcp/handlers/optimization.py,optimize_execution_handler,Edge Case,A single-node graph produces `source_nodes = [node_id]` AND `sink_nodes = [node_id]` — the same node in both lists.,OPEN,File_review/GROUP_11_MCP/optimization.md
FR-071,HIGH,11,app/mcp/handlers/run_control.py,handle_pause_run / handle_resume_run / handle_cancel_run,Error Handling,"Undocumented exception path: `pause()`, `resume()`, and `cancel()` can raise `OSError` from `_write_meta_field`.",OPEN,File_review/GROUP_11_MCP/run_control.md
FR-072,HIGH,11,app/mcp/server.py,handle_call_tool,Async Bug,The default executor has no explicit `max_workers` cap.,OPEN,File_review/GROUP_11_MCP/server.md
FR-073,HIGH,12,app/domain/ingestion.py,IngestionService._run_url_job,Resource Leak,"The double-close is benign for regular files in CPython, but the `dest_path.unlink(missing_ok=True)` is called inside the `with open(dest_path, ""wb"") as out_f:` block after `out_f.close()`.",OPEN,File_review/GROUP_12_Domain_Models/ingestion.md
FR-074,HIGH,12,app/domain/ingestion.py,IngestionService.stream_job,Edge Case,"For Redis-backed cross-worker streaming, `stream_job` will yield all events that existed at the moment `get_job()` was called, then immediately exit the loop because `job.status` is already `""completed""` or `""failed""` in...",OPEN,File_review/GROUP_12_Domain_Models/ingestion.md
FR-075,HIGH,12,app/domain/project_manager.py,ProjectManager._estimate_snr,Edge Case,"The 24-bit unpacking loop iterates `for i in range(0, len(raw) - 2, 3)`.",OPEN,File_review/GROUP_12_Domain_Models/project_manager.md
FR-076,HIGH,12,app/domain/project_manager.py,ProjectManager.validate_annotations,Contract Mismatch,"If annotations were added with paths like `""v1/train/yes/abc.wav""` (relative to project dir) but `rglob` produces `""v1/train/yes/abc.wav""` (also relative to project dir via `wav.relative_to(d)`), they match.",OPEN,File_review/GROUP_12_Domain_Models/project_manager.md
FR-077,HIGH,12,app/domain/quality_checker.py,QualityChecker._check_snr,Silent Failure Risk,"The docstring acknowledges the limitation (""assumes the first noise_profile_ms milliseconds contain only background noise"") but the implementation uses `np.mean(audio_data ** 2)` as `signal_power` — this is the mean powe...",OPEN,File_review/GROUP_12_Domain_Models/quality_checker.md
FR-078,HIGH,12,app/domain/quality_checker.py,QualityChecker.run,Edge Case,"The ""never raises"" contract is violated for `NotADirectoryError` when `version_dir` is a file, and for any unhandled exception in `_check_outliers` or `_check_class_imbalance` (these have no try/except).",OPEN,File_review/GROUP_12_Domain_Models/quality_checker.md
FR-079,HIGH,12,app/models/audio_artifact_serializer.py,AudioSampleHandler.deserialize,Silent Failure Risk,"If any single WAV file in the manifest fails to load (e.g., one corrupt file out of 1000), the entire `deserialize` call returns `None`.",OPEN,File_review/GROUP_12_Domain_Models/audio_artifact_serializer.md
FR-080,HIGH,12,app/models/audio_sample.py,AudioSample (class-level default),State Bug,"The more immediate risk is that `metadata: dict[str, Any] = {}` is a pattern that Pydantic v2 handles correctly (it copies the default), but it is inconsistent with the other models in this group that use `Field(default_...",OPEN,File_review/GROUP_12_Domain_Models/audio_sample.md
FR-081,HIGH,12,app/models/model_artifact.py,ModelArtifact (class-level defaults),State Bug,"Three fields use mutable class-level defaults: - `labels: list = []` - `history: dict = {}` - `metrics: dict = {}` In Pydantic v2, mutable defaults for model fields are copied per-instance during normal `__init__`.",OPEN,File_review/GROUP_12_Domain_Models/model_artifact.md
FR-082,HIGH,12,app/models/prediction_result.py,PredictionResult (class-level defaults),State Bug,Two fields use mutable class-level defaults: - `probabilities: dict = {}` - `metadata: dict = {}` Same pattern as `ModelArtifact`.,OPEN,File_review/GROUP_12_Domain_Models/prediction_result.md
FR-083,HIGH,12,app/models/tflite_artifact.py,TFLiteArtifact (class-level default),State Bug,`labels: list = []` uses a mutable class-level default.,OPEN,File_review/GROUP_12_Domain_Models/tflite_artifact.md
FR-084,HIGH,13,PluginPackage/Audio/audio_classifier/nodes.py,AudioClassifierNode._classify_audio,Edge Case,"Calls `librosa.power_to_db(mel, ref=np.max)`.",OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_classifier_nodes.md
FR-085,HIGH,13,PluginPackage/Audio/audio_classifier/nodes.py,AudioClassifierNode._tflite_classify,State Bug,`self._model_obj` is shared across all calls.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_classifier_nodes.md
FR-086,HIGH,13,PluginPackage/Audio/audio_classifier/nodes.py,AudioClassifierNode.process,Edge Case,No None-guard or type-check before iterating.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_classifier_nodes.md
FR-087,HIGH,13,PluginPackage/Audio/audio_classifier/nodes.py,AudioClassifierNode.process,Silent Failure,Unknown input types are silently skipped with a `log.warning` and `continue`.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_classifier_nodes.md
FR-088,HIGH,13,PluginPackage/Audio/audio_conditioner/nodes.py,AudioConditionerNode._apply_preemphasis,Edge Case,"`np.concatenate([[y[0]], y[1:] - coeff * y[:-1]])` — when `y` has exactly 1 sample, `y[1:]` is empty and `y[:-1]` is empty, so the result is `[y[0]]` (correct).",OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_conditioner_nodes.md
FR-089,HIGH,13,PluginPackage/Audio/audio_conditioner/nodes.py,AudioConditionerNode._condition_one,Edge Case,"After `librosa.effects.trim()`, if the audio is entirely silence, `trim` returns an empty array `y = np.array([])`.",OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_conditioner_nodes.md
FR-090,HIGH,13,PluginPackage/Audio/audio_event_detector/nodes.py,AudioEventDetectorNode._detect_pytorch,Resource Leak,Creates a new `torch.jit.load(...)` model instance on every call to `_detect_pytorch`.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_event_detector_nodes.md
FR-091,HIGH,13,PluginPackage/Audio/audio_event_detector/nodes.py,AudioEventDetectorNode._detect_pytorch,Silent Failure,Same as TFLite: assigns `start=0.0` and `end=float(len(sample.data) / sample.sample_rate)` to every event.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_event_detector_nodes.md
FR-092,HIGH,13,PluginPackage/Audio/audio_event_detector/nodes.py,AudioEventDetectorNode._detect_tflite,Resource Leak,Creates a new `tflite.Interpreter` instance on every call to `_detect_tflite`.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_event_detector_nodes.md
FR-093,HIGH,13,PluginPackage/Audio/audio_event_detector/nodes.py,AudioEventDetectorNode._detect_tflite,Silent Failure,The TFLite backend treats the entire audio as a single frame and assigns `start=0.0` and `end=float(len(y) / sample.sample_rate)` to every detected event.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_event_detector_nodes.md
FR-094,HIGH,13,PluginPackage/Audio/audio_exporter/nodes.py,AudioExporterNode.process,Error Handling,If `soundfile.write()` raises (e.g.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_exporter_nodes.md
FR-095,HIGH,13,PluginPackage/Audio/audio_exporter/nodes.py,AudioExporterNode.process,Silent Failure,"`sample.metadata.get(""split"")` returns the pre-assigned split if present.",OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_exporter_nodes.md
FR-096,HIGH,13,PluginPackage/Audio/audio_generator/nodes.py,AudioGeneratorNode._generate_musicgen,Resource Leak,`self._musicgen_model` is loaded lazily on first call.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_generator_nodes.md
FR-097,HIGH,13,PluginPackage/Audio/audio_generator/nodes.py,AudioGeneratorNode._generate_musicgen,Error Handling,Then calls: `mel_sr` is defined only inside the `if` block.,OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_generator_nodes.md
FR-098,HIGH,13,PluginPackage/Audio/audio_quality_gate/nodes.py,AudioQualityGateNode._check_duration,Edge Case,"`duration = len(sample.data) / sample.sample_rate` — if `sample.sample_rate` is 0 (invalid), this raises `ZeroDivisionError`.",OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_quality_gate_nodes.md
FR-099,HIGH,14,PluginPackage/Audio/alignment_node/nodes.py,AlignmentNode._align_ctc,Async Bug / Resource Leak,"1. If `setup()` was not called (e.g., node instantiated directly in tests), every `process()` call downloads/loads the model — O(N) model loads for N samples.",OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/alignment_node_nodes.md
FR-100,HIGH,14,PluginPackage/Audio/alignment_node/nodes.py,AlignmentNode._align_ctc,Edge Case,"Zero-length audio (e.g., from a failed load that returned an empty array) will crash with a PyTorch error rather than a clear domain error.",OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/alignment_node_nodes.md
FR-101,HIGH,14,PluginPackage/Audio/alignment_node/nodes.py,AlignmentNode.setup,Silent Failure,The silent `pass` in `setup()` means the node appears healthy at startup even when its required dependency is missing.,OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/alignment_node_nodes.md
FR-102,HIGH,14,PluginPackage/Audio/augmentation_pipeline/nodes.py,AugmentationPipelineNode.__init__,State Bug,The seed only guarantees reproducibility for the very first `process()` call.,OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/augmentation_pipeline_nodes.md
FR-103,HIGH,14,PluginPackage/Audio/augmentation_pipeline/nodes.py,AugmentationPipelineNode._aug_pitch_shift,Edge Case,Zero-length audio crashes with an opaque librosa/numpy error.,OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/augmentation_pipeline_nodes.md
FR-104,HIGH,14,PluginPackage/Audio/dataset_ingest/nodes.py,DatasetIngestNode._load_filesystem,Performance,"On large datasets, the per-file checkpoint append makes ingestion O(N) file operations just for checkpointing, independent of the actual audio loading.",OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/dataset_ingest_nodes.md
FR-105,HIGH,14,PluginPackage/Audio/dataset_ingest/nodes.py,DatasetIngestNode._load_tar,Resource Leak,"On large datasets, the per-file checkpoint append makes ingestion O(N) file operations just for checkpointing, independent of the actual audio loading.",OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/dataset_ingest_nodes.md
FR-106,HIGH,14,PluginPackage/Audio/dataset_ingest/nodes.py,DatasetIngestNode._load_zip,Resource Leak,"Any downstream node that tries to re-read the audio file from `sample.path` (e.g., for integrity checks, re-loading, or provenance) will get a FileNotFoundError.",OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/dataset_ingest_nodes.md
FR-107,HIGH,14,PluginPackage/Audio/feature_frontend/nodes.py,FeatureFrontendNode.process,Edge Case,"A single None or empty-data sample in the batch crashes the entire `process()` call, losing all features for all samples in the batch.",OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/feature_frontend_nodes.md
FR-108,HIGH,14,PluginPackage/Audio/feature_frontend/nodes.py,FeatureFrontendNode.process,Edge Case,A sample with sample_rate=0 or sample_rate=None crashes with an opaque error.,OPEN,File_review/GROUP_14_Audio_Plugins_Batch_2/feature_frontend_nodes.md
FR-109,HIGH,15,PluginPackage/Audio/environment_simulator/nodes.py,EnvironmentSimulatorNode._simulate,Edge Case,"`e_absorption, max_order = pra.inverse_sabine(rt60, dims)` — `pra.inverse_sabine` can raise `ValueError` if `rt60` is too small for the given room dimensions (the Sabine formula produces absorption > 1.0, which is physic...",OPEN,File_review/GROUP_15_Audio_Plugins_Batch_3/environment_simulator_nodes.md
FR-110,HIGH,15,PluginPackage/Audio/environment_simulator/nodes.py,EnvironmentSimulatorNode._simulate,Edge Case,"`mic_pos = [min(mic_pos[i], dims[i] - 0.1) for i in range(3)]` — clamps positions to be at most `dims[i] - 0.1` metres from the origin.",OPEN,File_review/GROUP_15_Audio_Plugins_Batch_3/environment_simulator_nodes.md
FR-111,HIGH,15,PluginPackage/Audio/segmenter/nodes.py,SegmenterNode.process,Edge Case,"An empty `samples` list returns `[]` silently (acceptable), but a sample with `data = np.array([])` (zero samples) is passed directly into `_segment_fixed`, `_segment_silence`, etc.",OPEN,File_review/GROUP_15_Audio_Plugins_Batch_3/segmenter_nodes.md
FR-112,HIGH,15,PluginPackage/Audio/speaker_separator/nodes.py,SpeakerSeparatorNode._separate_speechbrain,Resource Leak,"`est_sources = model.separate_batch(audio_tensor)` returns a tensor of shape `(1, N, num_sources)`.",OPEN,File_review/GROUP_15_Audio_Plugins_Batch_3/speaker_separator_nodes.md
